Label	Distance	Astro_m1	Astro_m2	Endo_m1	Endo_m2	Inter_m1	Inter_m2	Micro_m1	Micro_m2	Oligo_m1	Oligo_m2	CA1_m1	CA1_m2	SS_m1	SS_m2	All_m1	All_m2
Prl8a8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl7a1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sox4	627	2	0	9	1	6	0	2	0	12	0	16	1	6	1	53	3
E2f3	1509	1	0	0	0	0	0	0	0	3	0	5	1	0	0	9	1
Exoc2	1	4	1	8	1	17	2	4	1	55	8	70	7	25	4	183	24
1700018A04Rik	43027	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
Gmds	23	1	0	6	1	9	4	2	0	20	2	48	5	9	3	95	15
Mylk4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb9c	1359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uc007qaj.1	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb6a	66753	20	2	74	0	26	2	68	0	160	16	179	19	73	8	600	47
Slc22a23	362	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
1300014I06Rik	241	0	0	1	0	1	1	0	0	0	0	2	0	0	0	4	1
Eci3	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Eci2	13	53	34	55	17	57	2	9	4	266	77	109	15	46	11	595	160
Lyrm4	210	1	0	0	0	1	0	0	0	1	0	8	0	0	2	11	2
Nrn1	1	6	2	6	6	22	19	3	2	46	37	1146	889	466	346	1695	1301
F13a1	1013	0	0	0	0	4	0	147	1	43	0	4	1	13	0	211	2
Cage1	132	0	0	0	0	4	2	1	0	6	2	5	6	3	8	19	18
Slc35b3	1	2	0	1	0	1	2	1	1	9	2	9	7	6	2	29	14
Tfap2a	918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mak	2	1	0	0	0	1	0	0	0	0	0	2	1	2	2	6	3
Elovl2	196	5	0	0	0	0	0	1	0	1	0	6	0	2	0	15	0
Nedd9	128296	3	1	4	4	1	0	0	0	8	0	9	0	2	0	27	5
9530008L14Rik	19076	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0
Tbc1d7	33	11	3	8	1	100	12	4	0	131	53	220	44	102	13	576	126
Gfod1	3	0	0	0	1	2	0	0	0	0	0	0	1	0	0	2	2
Ranbp9	179	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	1
Ccdc90a	1	0	0	0	0	0	0	1	0	1	0	1	3	0	0	3	3
Dtnbp1	19183	0	0	0	0	2	0	0	0	3	0	20	4	4	0	29	4
Nup153	340	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	1
Kif13a	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dek	1	4	3	8	5	10	9	3	2	34	12	51	31	9	10	119	72
Ptpdc1	28	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1
Phf2	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam120a	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Wnk2	243	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
1110007C09Rik	71	8	0	12	0	11	0	8	0	417	4	25	3	11	0	492	7
Susd3	2	1	0	0	0	0	0	14	2	6	2	3	0	1	0	25	4
Fgd3	1	0	0	0	0	3	0	0	0	6	2	1	1	0	0	10	3
Cenpp	104	0	0	0	0	1	3	0	1	5	0	11	7	3	3	20	14
Sema4d	44825	0	2	0	0	0	0	0	0	303	116	6	9	1	0	310	127
Diras2	163	0	0	0	0	11	2	0	0	4	1	29	10	27	6	71	19
Auh	139	2	0	2	0	30	2	0	0	30	0	75	5	8	4	147	11
Nfil3	1	0	0	0	0	0	1	0	0	2	1	0	0	1	0	3	2
Ror2	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msx2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uc007qnx.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4833439L19Rik	2	29	0	18	2	70	0	7	0	242	11	350	10	100	6	816	29
Nop16	9	11	7	22	4	149	45	12	4	195	70	376	134	168	55	933	319
Cltb	31	0	1	7	2	40	29	0	0	32	23	89	42	45	7	213	104
Rnf44	5981	0	0	2	0	1	0	0	0	2	0	2	2	1	0	8	2
Gprin1	1	0	0	0	0	5	0	0	0	0	0	22	5	0	1	27	6
Sncb	3578	0	0	0	0	8	0	0	0	2	0	17	1	7	0	34	1
uc007qpo.1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hk3	44	0	0	1	0	0	0	8	3	6	0	2	0	0	1	17	4
Uimc1	2	15	6	28	7	42	6	11	1	92	38	155	109	57	12	400	179
Rab24	13	0	0	2	0	12	1	1	0	7	1	37	3	13	1	72	6
Lman2	148	4	0	5	0	8	0	2	0	16	1	25	1	6	0	66	2
F12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dbn1	4281	0	0	1	0	16	0	0	0	2	0	94	4	7	3	120	7
Dok3	58	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Fam193b	6	0	0	0	0	1	0	0	0	1	0	2	0	0	0	4	0
Pitx1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2afy	52	0	0	0	1	4	2	0	1	7	1	11	12	4	4	26	21
Tifab	27	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1
Cxcl14	24	4	12	0	1	63	25	0	0	7	3	5	3	2	0	81	44
Lect2	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spock1	1	0	0	0	0	5	1	0	0	10	0	5	0	4	0	24	1
Klhl3	324	0	0	0	0	0	0	0	0	0	0	4	2	2	1	6	3
Ubqln1	32285	0	0	0	0	2	0	0	0	1	4	1	1	1	0	5	5
Gkap1	2	2	1	2	0	5	4	0	0	71	24	26	10	3	2	109	41
2210016F16Rik	1	0	0	2	0	2	2	2	0	8	1	16	5	1	0	31	8
Hnrnpk	324	71	35	125	30	319	84	45	9	1001	250	1021	308	355	123	2937	839
4930455J16Rik	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agtpbp1	4	0	0	2	0	31	1	0	0	55	3	128	5	49	2	265	11
4932411G14Rik	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isca1	459	19	0	29	0	230	0	12	0	163	0	734	0	209	0	1396	0
Zcchc6	426	2	1	1	0	6	0	2	3	6	3	26	2	8	0	51	9
Gas1	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctla2b	21	5	0	25	7	1	0	19	7	23	4	4	0	4	0	81	18
Tpbpb	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctla2a	75	89	1	849	0	13	0	23	1	188	0	102	0	45	0	1309	2
Tpbpa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsq	2856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsr	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsm	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbp2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0
Fbp1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fancc	1	2	1	1	3	2	0	0	1	4	5	5	1	2	3	16	14
Ptch1	8624	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Hsd17b3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp367	2289	1	0	5	0	6	0	0	0	14	0	9	0	10	0	45	0
Cdc14b	81	0	0	0	1	0	0	1	0	0	1	0	0	1	0	2	2
Ctsl	26	281	9	267	16	500	87	169	2	5355	102	497	391	521	169	7590	776
Hiatl1	1	1	0	3	2	3	2	0	0	32	6	26	7	3	2	68	19
Mterfd1	1	18	1	49	4	63	3	7	0	171	4	238	3	85	1	631	16
Zfp708	26987	4	2	0	0	1	2	0	0	24	9	6	16	5	6	40	35
Zfp595	11	0	0	0	0	0	0	0	0	3	0	1	0	2	0	6	0
Zfp58	25620	7	2	11	1	23	7	2	0	86	24	102	56	32	14	263	104
AA987161	1	0	0	1	0	2	2	0	1	17	8	16	6	5	1	41	18
A530054K11Rik	23	1	0	2	1	5	3	0	2	16	11	16	10	10	1	50	28
Zfp71-rs1	4765	2	1	2	2	7	0	3	0	41	3	47	7	12	2	114	15
Zfp85-rs1	19	1	0	0	0	1	0	0	0	9	5	6	2	2	0	19	7
4930525G20Rik	36	2	0	0	0	1	1	0	0	0	1	13	1	2	2	18	5
Adcy2	66	1	0	0	0	1	0	0	0	0	1	1	0	1	0	4	1
Papd7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srd5a1	1	3	2	0	0	10	4	0	0	356	183	22	8	8	12	399	209
Ube2ql1	404	0	0	0	0	2	0	0	0	1	0	8	0	3	0	14	0
Adamts16	70	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	1
Irx1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20554	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D630045M09Rik	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc6a18	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc6a19	8107	1	0	0	0	1	0	0	0	0	0	0	2	0	0	2	2
Trip13	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1
ENSMUST00000128914	4	0	0	0	0	1	0	0	0	120	44	29	9	9	3	159	56
Pdcd6	1	83	2	61	4	283	12	28	0	870	39	1151	39	447	14	2923	110
Lrrc14b	3	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	1
Cast	4	2	1	11	3	0	0	0	0	3	1	6	0	4	0	26	5
Rhobtb3	1	0	2	0	0	0	1	0	0	12	6	3	2	0	0	15	11
Arsk	1	28	1	11	1	14	2	10	3	207	7	91	7	35	2	396	23
Ankrd32	2	4	2	8	1	23	1	6	0	37	8	80	14	31	6	189	32
uc007rhb.1	26	4	0	0	0	0	0	1	0	3	0	2	1	2	0	12	1
Nr2f1	193	4	1	5	1	3	1	0	0	5	4	6	3	20	15	43	25
ENSMUST00000161006	12	0	0	1	0	1	0	0	0	4	2	3	0	1	0	10	2
Gpr98	62444	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Polr3g	292	2	0	1	0	2	1	2	0	12	1	13	3	3	0	35	5
uc011zcg.1	1	1	0	0	0	7	1	0	0	5	0	24	6	8	3	45	10
uc007rin.1	57	46	3	1	0	47	4	1	0	22	0	56	46	6	4	179	57
Rasa1	321	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	1
LOC100048613	97	559	0	376	0	2459	0	149	0	4418	0	9376	0	4238	0	21575	0
Vcan	7	0	1	0	0	3	1	0	0	2	2	4	1	0	1	9	6
Xrcc4	9	4	2	7	6	12	12	1	1	75	21	84	40	27	11	210	93
A830009L08Rik	7	0	0	2	0	2	0	0	0	8	1	0	0	81	13	93	14
Zcchc9	1	27	3	36	20	66	23	6	4	194	72	269	99	102	47	700	268
ENSMUST00000149630	7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
ENSMUST00000146492	114	0	0	0	0	3	0	0	0	0	0	0	0	0	1	3	1
Fam151b	6	2	1	1	0	3	2	0	0	16	2	6	6	5	2	33	13
Zfyve16	7	7	0	8	1	19	1	0	0	74	8	38	1	20	2	166	13
Thbs4	153	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Papd4	43	1	0	0	1	0	1	0	0	2	2	6	0	0	0	9	4
Jmy	246	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0
Bhmt	5	0	0	0	0	0	0	0	0	3	1	0	0	0	0	3	1
Bhmt2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Scamp1	6	2	2	6	0	15	6	7	0	46	4	134	17	47	2	257	31
uc007rlu.1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde8b	27188	3	0	5	0	2	1	0	0	5	0	2	0	12	0	29	1
Aggf1	4	0	0	0	1	3	1	0	0	3	2	2	1	1	0	9	5
Crhbp	48	2	0	1	0	831	120	0	0	14	2	20	1	2	1	870	124
F2rl1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
F2r	3	0	0	3	2	0	0	0	0	0	1	0	0	0	0	3	3
Iqgap2	168	0	2	0	0	1	0	3	1	1	0	43	22	1	0	49	25
Sv2c	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Ankdd1b	35208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polk	27	1	0	6	1	2	0	2	0	19	1	10	2	5	0	45	4
Hmgcr	5	69	0	15	0	66	0	5	0	895	4	531	0	214	1	1795	5
1700029F12Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hexb	10	35	6	18	0	59	7	247	3	254	16	128	40	73	15	814	87
Rgnef	1	0	0	2	1	1	0	0	0	26	37	52	21	1	1	82	60
Utp15	2	3	1	3	0	24	0	3	0	26	3	49	2	17	1	125	7
Btf3	187	191	0	278	0	541	1	93	0	1954	0	2180	4	714	0	5951	5
Tmem174	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem171	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Fcho2	16	1	0	10	0	8	0	4	0	22	0	15	0	7	0	67	0
Tnpo1	35274	3	1	1	0	3	2	2	0	13	3	13	1	6	0	41	7
1700024P04Rik	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtap1b	10	9	1	18	1	684	19	0	1	231	8	1791	42	505	11	3238	83
Cartpt	113	1	0	0	0	8	0	0	0	30	0	59	1	41	0	139	1
Bdp1	7	0	0	2	1	3	3	2	0	1	3	8	7	1	1	17	15
Gtf2h2	159	12	0	14	3	65	20	11	0	138	22	233	42	79	11	552	98
Ocln	115	7	2	64	34	1	1	6	1	22	5	11	13	5	4	116	60
Marveld2	30	1	0	6	2	0	0	0	0	0	0	0	0	0	0	7	2
Rad17	164	4	0	8	0	30	0	0	0	71	0	102	0	26	0	241	0
Mrps36	455	23	6	49	2	226	8	10	0	265	21	724	15	345	10	1642	62
Cenph	1	0	0	0	0	3	0	0	0	1	1	3	1	6	1	13	3
Slc30a5	63	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	2
Pik3r1	75766	0	4	3	4	18	4	0	0	14	32	51	10	54	7	140	61
Mast4	190703	9	4	54	2	18	2	4	1	17	186	470	12	25	2	597	209
Srek1	1	26	2	30	1	106	2	14	0	253	8	431	5	128	1	988	19
Erbb2ip	60	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	1
Nln	1	6	7	1	1	26	16	0	5	23	15	62	11	24	10	142	65
2410002O22Rik	214	26	0	25	0	141	0	13	0	257	1	360	3	154	1	976	5
Ppwd1	1	11	2	18	1	61	5	6	5	128	9	254	26	74	5	552	53
Cwc27	1	7	1	10	2	30	11	2	0	102	18	93	23	40	5	284	60
Fam159b	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Rgs7bp	14	1	1	0	0	18	10	0	0	4	2	66	49	7	4	96	66
Rnf180	182	1	0	0	0	3	0	1	0	0	0	7	1	0	0	12	1
Ipo11	100523	2	6	2	9	34	0	2	5	46	10	98	31	28	4	212	65
Kif2a	310	2	0	7	0	41	0	0	0	32	0	134	1	45	1	261	2
uc007rum.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zswim6	1	1	0	0	0	0	0	1	0	1	0	3	0	0	0	6	0
Rab3c	5	2	1	3	0	385	19	0	0	40	3	718	24	96	4	1244	51
Gpbp1	38	12	0	23	0	58	1	5	0	143	2	197	5	79	0	517	8
Map3k1	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx4	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	3	1
Skiv2l2	204	16	1	34	0	70	4	4	0	205	10	291	71	116	8	736	94
Hspb3	16	0	0	1	0	2	1	1	1	1	1	5	2	25	7	35	12
Fst	199	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Itga2	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itga1	57	1	1	11	9	0	0	1	0	3	4	2	0	1	0	19	14
Pelo	11664	0	0	5	0	0	1	1	0	4	2	1	1	1	0	12	4
Parp8	57	0	0	1	0	3	0	0	0	5	2	5	0	0	0	14	2
uc007ryu.1	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ENSMUST00000144680	13	1	0	0	0	3	0	0	0	0	0	3	0	1	0	8	0
ENSMUST00000144599	7	5	0	4	3	6	2	5	0	25	7	10	6	8	4	63	22
Nnt	422	0	0	0	0	0	0	0	0	1	1	3	0	0	0	4	1
3110070M22Rik	9	0	0	0	0	1	0	0	0	2	1	10	0	3	0	16	1
Asb13	3	8	1	5	0	50	2	3	0	29	1	70	10	53	5	218	19
Tubal3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akr1c14	10578	1	0	17	0	1	0	4	0	7	0	2	0	4	0	36	0
Akr1c13	4	1	0	0	0	0	0	7	2	5	0	2	0	0	0	15	2
Akr1c19	4999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akr1c6	1702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klf6	1	50	5	153	19	29	19	84	8	469	83	69	95	50	63	904	292
Pitrm1	4	5	0	4	0	13	1	4	0	18	1	34	3	13	1	91	6
Adarb2	1	3	1	3	1	89	90	0	0	4	4	8	3	5	0	112	99
Idi1	1	10	7	10	8	27	9	2	1	119	125	116	80	39	26	323	256
Larp4b	1	1	0	1	0	1	0	0	0	4	0	5	2	0	0	12	2
Dip2c	45	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1
Ero1lb	8	0	0	0	0	1	1	0	0	0	1	5	2	2	1	8	5
Lyst	22	0	1	3	0	6	0	0	0	4	0	22	1	5	0	40	2
Gng4	206	0	0	0	1	3	0	0	1	0	0	0	1	1	0	4	3
B3galnt2	55	1	0	1	0	1	0	1	0	3	0	4	0	6	0	17	0
Gli3	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhba	14	0	0	1	1	0	0	0	0	0	0	0	3	8	5	9	9
LOC100505022	192	2	0	6	0	2	2	0	0	27	0	28	8	11	0	76	10
ENSMUST00000103556	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uc007pox.1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uc007poz.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sfrp4	113	1	0	0	0	2	0	0	0	0	1	0	0	0	0	3	1
Elmo1	288049	0	2	0	18	137	0	0	28	8	18	24	15	43	8	212	89
Aoah	4	0	0	0	0	0	0	2	0	2	0	1	0	0	0	5	0
Trim27	141	0	0	0	0	2	1	0	0	0	1	5	3	0	0	7	5
Gpx6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zscan12	10	0	0	2	0	1	0	0	0	9	0	10	0	3	0	25	0
Hist1h2ap	1760707	8	0	13	3	31	8	18	8	44	7	86	31	25	8	225	65
Pom121l2	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hist1h2bk	18	1	0	0	0	1	0	0	0	2	0	1	0	0	0	5	0
Hist1h2bn	289102	0	2	0	0	0	3	0	1	25	11	2	2	2	5	29	24
Hist2h4	20572	45	0	12	3	15	1	3	1	403	4	72	20	33	9	583	38
Hist2h3b	31273	3	0	2	0	4	4	2	1	9	10	20	13	2	3	42	31
Hist4h4	1540194	24	37	22	1	47	25	8	7	52	209	214	87	86	27	453	393
Hist2h2bb	112796	296	6	46	5	89	2	20	6	2880	52	711	15	162	9	4204	95
Hist1h1t	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hist1h3b	189943	4	0	6	0	12	0	12	0	20	0	56	2	9	0	119	2
Slc17a2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc17a3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc17a1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cmah	21345	0	0	0	0	0	0	2	0	2	0	0	0	0	0	4	0
Fam65b	23998	0	0	0	0	13	0	0	1	4	0	51	0	3	0	71	1
ENSMUST00000136906	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
BC005537	9	1	2	0	0	1	1	0	0	1	0	5	3	2	3	10	9
Tdp2	9	0	0	0	1	3	0	0	0	2	4	8	1	2	1	15	7
D130043K22Rik	1	3	1	1	0	14	0	0	0	3	1	83	20	38	8	142	30
4932702P03Rik	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000154919	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpld1	1	12	4	1	0	0	1	0	0	5	2	3	0	1	0	22	7
Dcdc2a	131380	0	0	0	0	1	0	0	0	16	0	1	0	15	0	33	0
Prl	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl3a1	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl6a1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl8a2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mboat1	1	0	0	1	0	0	1	1	0	50	5	1	0	1	0	54	6
Agtr1a	14	0	0	0	0	2	0	0	0	0	0	0	0	1	1	3	1
Dusp22	99	8	0	24	0	25	0	9	0	71	0	49	0	34	0	220	0
Foxq1	136	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0
Foxf2	1	0	0	6	1	0	0	1	0	2	0	3	0	0	0	12	1
Foxc1	114	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0
Serpinb6b	223	4	2	65	2	3	0	1	0	13	1	3	0	5	0	94	5
Serpinb9	63	1	0	11	3	5	3	0	0	4	2	4	10	0	5	25	23
Serpinb9b	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb1b	5	0	0	0	0	4	1	0	0	1	0	1	0	0	0	6	1
Nqo2	1	1	2	3	6	12	3	0	3	13	2	5	2	5	0	39	18
Ripk1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bphl	11	38	1	17	0	76	0	13	0	140	3	430	14	157	4	871	22
Psmg4	2	15	6	19	3	53	39	5	1	125	44	202	84	66	30	485	207
Fam50b	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prpf4b	1	38	71	42	90	138	125	16	14	277	393	979	557	370	192	1860	1442
4933417A18Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdyl	81500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r3g	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fars2	477	25	0	17	0	52	0	2	0	94	0	190	0	65	0	445	0
Ly86	46	2	2	1	0	1	0	82	34	48	19	13	2	9	4	156	61
Rreb1	47522	0	0	0	0	1	0	1	0	0	0	0	1	0	1	2	2
Dsp	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmp6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gcnt2	57633	2	0	3	6	2	0	0	1	4	3	55	4	3	0	69	14
Pak1ip1	1	12	8	48	4	150	18	10	1	168	22	618	111	218	24	1224	188
Tmem14c	10	42	4	40	7	127	10	16	3	509	61	530	51	213	12	1477	148
BC024659	174	0	0	0	0	22	0	0	0	29	2	21	5	6	4	78	11
Tmem170b	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hivep1	238	1	0	10	0	1	0	3	0	2	0	1	0	1	0	19	0
Edn1	173	26	0	204	2	1	2	12	1	81	2	23	0	10	0	357	7
Phactr1	185224	1	2	3	0	11	3	0	0	12	274	129	7	138	7	294	293
Rnf182	3	5	6	0	0	10	1	0	0	3	1	82	51	2	1	102	60
Cd83	4	17	0	6	0	6	2	251	0	96	0	19	3	34	2	429	7
Jarid2	8	0	1	0	1	1	1	0	0	8	5	12	9	0	0	21	17
Gmpr	79	1	1	14	6	80	5	1	1	24	7	665	108	104	4	889	132
Rbm24	226	0	0	4	0	1	0	0	0	6	0	14	0	6	0	31	0
Cap2	1	0	0	3	3	1	0	0	1	1	5	43	16	17	13	65	38
C78339	12	0	0	1	0	0	0	0	0	1	0	1	1	0	0	3	1
Kdm1b	22836	0	0	1	0	1	0	0	0	10	0	4	0	1	0	17	0
Rnf144b	71223	1	0	12	0	0	1	2	0	1	0	1	1	1	0	18	2
Barx1	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000146582	8	1	0	0	0	3	3	0	0	4	1	13	1	3	0	24	5
Ninj1	2786	2	0	9	0	16	0	13	4	178	2	63	0	16	0	297	6
Bicd2	82	0	0	2	0	0	0	4	0	8	0	1	0	1	0	16	0
ENSMUST00000099528	11	12	6	19	12	75	32	12	0	157	90	351	164	147	43	773	347
Ecm2	32	0	2	10	5	0	0	0	1	4	2	1	1	0	3	15	14
Aspn	88	5	0	76	5	0	0	11	0	29	7	13	4	10	0	144	16
Omd	86	0	0	1	1	0	0	0	0	4	2	0	0	0	0	5	3
Ogn	2	3	3	2	12	0	0	2	0	16	9	0	0	4	1	27	25
Nol8	157	4	0	3	1	13	3	1	0	70	9	126	11	42	4	259	28
Iars	37	1	0	6	0	27	0	4	0	176	0	80	0	19	0	313	0
Fbxw17	1	6	2	3	0	18	10	4	0	95	33	44	7	17	2	187	54
Spin1	7	1	0	0	0	4	0	0	0	2	0	27	0	5	0	39	0
Nxnl2	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100046104	7	4	0	14	1	4	2	9	0	8	3	14	9	10	6	63	21
Secisbp2	11	4	1	6	2	13	2	5	0	72	18	63	20	16	13	179	56
4921525O09Rik	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syk	13678	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1
Sfxn1	1	22	4	8	0	71	7	4	0	26	1	139	5	34	2	304	19
Cplx2	1	1	1	14	2	326	99	3	0	44	12	722	144	252	49	1362	307
Arl10	1	0	0	1	0	3	0	1	0	4	0	6	1	0	0	15	1
Higd2a	1	146	27	114	20	637	245	70	12	1052	378	2336	911	837	337	5192	1930
Faf2	4	17	0	14	1	65	9	6	0	218	43	230	28	68	6	618	87
Cdhr2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tspan17	1	0	0	1	0	15	1	0	0	14	0	10	0	5	0	45	1
ENSMUST00000154615	1	0	0	0	0	22	2	0	0	0	0	2	0	0	0	24	2
Unc5a	53823	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0
Zfp346	11	0	0	0	0	2	1	0	0	3	0	15	0	2	2	22	3
Nsd1	188	2	1	2	2	13	6	3	0	16	27	36	31	7	12	79	79
Rgs14	15	0	0	0	0	1	2	0	2	2	1	139	75	12	7	154	87
Slc34a1	3209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Txndc15	16	16	0	14	2	77	2	3	1	144	1	265	6	49	1	568	13
Catsper3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a48	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxl21	1	1	0	0	0	4	4	0	0	5	6	6	5	0	1	16	16
Tgfbi	39	0	0	3	0	0	0	28	0	30	1	4	0	5	0	70	1
